name,ele,latitude,longitude,distance_to_straubing
Kronberg,983,49.0369388,13.1053062,42.5
Jugenberg,610,49.1856668,12.2178899,42.6
Kleiner Riedelstein,1042,49.1613125,12.974748,42.7
Rauchröhren,1042,49.1702239,12.9604782,42.7
Riesensprung,,49.1668578,12.1779443,42.8
Leitenbühl,752,48.8596187,13.1576675,42.8
Kranewittberg,479,49.2425371,12.7799152,42.9
Großer Riedelstein,1132,49.1659,12.9729999,43.0
Regener Berg,712,48.8774949,13.1627798,43.1
Fuchsbühl,431,49.2467761,12.7716475,43.1
Riegelholzberg,653,49.2225744,12.858335,43.2
Sonnenhügel,410,48.7175333,13.1077409,43.2
Aibenberg,722,48.8752087,13.1639707,43.2
Schlosshügel,381,48.7664862,13.1389403,43.4
Hohenstein,505,49.2468937,12.783606,43.4
Oberberg,833,49.0128939,13.1338318,43.5
Unterdorfer Berg,,49.0028314,13.1432312,43.8
Kleiner Büchelstein,,48.8104826,13.1642459,44.0
Kleiner Rachelberg,796,48.858687,13.1729936,44.0
Plattenriegel,1050,49.1268435,13.0458981,44.0
Anis,709,49.0177061,13.1442717,44.4
Mühlriegel,1079,49.1569817,13.0149053,44.4
Kirchberg,,48.9036275,13.1818276,44.6
Eierbühl,402,48.7434201,13.1457424,44.7
Plattenhöhe,690,48.9506596,13.1758079,44.7
Hangenleithner Hügel,808,48.8679743,13.1844604,44.7
Silberberg,955,49.0571546,13.1243106,44.7
Hochstein,1134,49.1236936,13.0641426,44.8
Büchelstein,832,48.8082788,13.1754956,44.8
Hohenstein,,49.1949659,12.1852712,44.9
Ödriegel,1154,49.1586561,13.0249647,45.1
Birkenberg,496,49.2552411,12.8204863,45.3
Schlossberg,700,49.2378054,12.8775674,45.4
Heugstatt,1262,49.1292361,13.0682204,45.4
Brandtner Riegel,993,49.0571097,13.1340578,45.4
Haibühler Spitz,1047,49.1631148,13.0265857,45.5
Eschbühl,579,48.8368991,13.1924236,45.6
Mühlberg,410,48.7255244,13.1481564,45.6
Schanzenberg,758,48.8558705,13.1968975,45.7
Enzian,1287,49.1237073,13.0830635,45.9
Steinhügel,401,48.7302802,13.1564283,45.9
Hängender Riegel,1080,49.1464908,13.0573865,46.0
Hängender Riegel,1183,49.1504372,13.0564589,46.2
Ochsenberg,,49.000016,13.1794302,46.2
Hochzellberg,1208,49.0776795,13.1332083,46.3
Hohenburg,608,48.7959029,13.192445,46.3
Schwarzeck,1235,49.1465603,13.0645594,46.4
Bärenriegel,1175,49.1373421,13.0762288,46.4
Kreuzbühl,439,48.7717331,13.1846935,46.4
Mühlberg,,49.0069684,13.1802158,46.5
Riebenzingriegel,,49.2284712,12.9308205,46.5
Trettinger Birkenberg,556,49.2596924,12.8492864,46.6
Kohlriegel,957,49.2418162,12.9037996,46.7
Franzenshöhe,,49.2127047,12.176004,46.8
Fürberg,880,48.8702326,13.2132403,46.8
Hilkeringer Bühl,416,48.760871,13.1853533,46.8
Kleiner Arber,1384,49.1133011,13.1100722,46.9
Weißmandl,940,49.2474153,12.8924981,46.9
Peilstein,,49.2128257,12.1743103,46.9
Sturmriegel,974,48.8222031,13.2094237,47.0
Eisenberg,562,48.7928143,13.2007599,47.0
Hiermesbügel,650,48.9969731,13.1921339,47.0
Burgstall,976,49.2494248,12.8908193,47.0
Farrenruck,979,49.2410441,12.9155616,47.1
Traillingriegel,862,49.1778606,13.0348769,47.1
Hochstätter,1084,49.1374752,13.0890264,47.2
Wolfsriegel,915,49.247208,12.9012404,47.2
Schwarzriegel,1079,49.2336945,12.9356052,47.2
Schmidtriegel,915,49.2443179,12.9117946,47.3
Bärenriegel,1017,49.2401279,12.9264333,47.4
Eckstein,1073,49.2372852,12.9329665,47.4
Hahnenriegel,1108,49.0701329,13.1578244,47.5
Hörndl,1015,49.1420189,13.0897298,47.5
Jägerriegel,913,48.828833,13.2179358,47.5
Brotjacklriegel,1010,48.8170156,13.2167342,47.6
Steinriegel,465,48.7110065,13.1695068,47.6
Ahornriegel,1050,49.2348824,12.9440756,47.7
Mittagsplatzl,1340,49.093397,13.1428476,47.8
Sphinx,974,49.1452531,13.0902383,47.8
Pürzerriegel,923,49.2429536,12.9308331,47.9
Spitzberg,1058,49.1301691,13.1120544,48.0
Hennenkobel,965,49.0450716,13.1815386,48.0
Asberg,778,48.9785582,13.2134709,48.0
Schneiderberg,1015,49.141771,13.1002423,48.1
Strachinger Höhe,553,48.7806064,13.2142997,48.3
Großer Arber,1456,49.1124718,13.13619,48.4
Rote Höhe,1050,49.0601635,13.1793388,48.5
Kleines Hochgrainet,820,48.9784846,13.2198435,48.5
Zwieselberg,,49.0040178,13.2126805,48.7
Kagerstein,793,49.2351093,12.9690945,48.8
Ellerberg,387,48.740774,13.206017,48.9
Brauerriegel,765,48.8305919,13.2365928,48.9
Stallriegel,1228,49.1086495,13.1468493,48.9
Scheibenberg,766,48.8380707,13.2375691,48.9
Kühberg,870,48.9763298,13.2292152,49.1
Riedstein,745,48.9381768,13.2396828,49.1
Sollerberg,886,49.1429779,13.1150216,49.1
Ochsenberg,648,48.7935611,13.2347482,49.4
Gschwendtner Berg,446,48.7080755,13.193475,49.4
Stierberg,692,48.7794505,13.2341802,49.7
Imkenberg,525,48.7676813,13.2294381,49.7
Glasberg,676,49.0009734,13.2309323,49.8
Kopfriegel,,49.109989,13.1599046,49.8
Hummelberg,387,48.7264409,13.2127172,49.9
Leitenwaldhöhe,808,48.9874629,13.2400056,50.1
Steinbühl,443,48.746724,13.228215,50.3
Kohlbichel,749,48.9518062,13.2528126,50.3
Fuchsriegel,978,49.1440873,13.1362017,50.4
Gsengetstein,951,48.9318145,13.2580614,50.4
Aschenstein,942,48.8176285,13.2570665,50.6
Wagnerspitze,1125,49.1376826,13.1466086,50.6
Kleiner Aschenstein,913,48.8133171,13.258588,50.7
Steinbichel,680,48.8654477,13.2675766,50.8
Dreikögelriegel,858,48.9694705,13.2555143,50.8
Forchenhügel,430,48.7127551,13.2179797,50.8
Vorderer Berg,775,49.2406922,13.0099515,51.1
Geißlstein,906,48.8139896,13.2648902,51.2
Ständelberg,595,49.2493304,13.0003333,51.4
Brünst,497,49.2771656,12.9396669,51.4
Atzelberg,590,49.2530403,12.9936735,51.4
Stierberg,827,48.9866662,13.2593005,51.5
Hindenburgfelsen,1173,49.1411388,13.1595548,51.6
Oberer Berg,774,49.2414207,13.0206159,51.6
Habichtstein,863,48.9259059,13.2778733,51.7
Hindenburgkanzel,1062,49.1472222,13.1572222,51.8
Oberer Kühberg,755,48.9924344,13.2624516,51.8
Eschenberg,1043,48.9342375,13.2792772,51.9
Sattel,,49.2074908,13.086599,52.1
Wagensonnriegel,959,48.9504287,13.2790963,52.2
Schindelauberg,780,49.2391926,13.0392141,52.3
Buchberg,636,49.2736201,12.9733988,52.4
Priefinger Berg,411,48.7252873,13.2473069,52.4
Kleiner Osser,1266,49.2017348,13.1032394,52.5
Hochberg,941,49.1079434,13.2062999,52.6
Bernhöhe,605,49.2716636,12.9809471,52.6
Rotes Kreuz,903,49.2323334,13.0568058,52.6
Hochfels,875,49.1138305,13.201203,52.6
Spandlberg,662,49.2644744,12.9999204,52.7
Sulzriegel,782,49.0694772,13.2391857,52.9
Widderberg,,48.8512742,13.2948397,52.9
Häuserberg,630,48.8563004,13.2961057,53.0
Großer Osser,1293,49.2031833,13.1097845,53.0
Büschlberg,626,49.2695571,12.9973026,53.1
Hanslkreuz,,49.0451942,13.2575958,53.2
Weinerberg,599,49.2824821,12.975393,53.3
Huberriegel,1184,49.198256,13.1215709,53.3
Am Knöchel,,49.1893925,13.1360916,53.4
Hessenstein,878,48.9146856,13.3040868,53.6
Maly Kokrháč,1169,49.1906293,13.1371358,53.6
Maxfelsen,1138,49.1947024,13.1324031,53.6
Steinbügel,750,49.2494402,13.0516171,53.7
Helmwald,1102,49.226964,13.0891868,53.7
Drähberg,920,49.1142192,13.2217967,53.9
Brändriegel,705,49.2666499,13.0259899,54.0
Auf der Schanz,757,49.2534585,13.049184,54.0
Weißer Riegel,1093,49.2147288,13.1144343,54.1
Mühlberg,667,48.8801521,13.3126966,54.1
Jägerhübel,1100,49.2166689,13.1138594,54.2
Hoher Stein,705,49.2716797,13.027273,54.5
Türkenberg,738,48.8725515,13.3214406,54.7
Ochsenberg,664,49.0034363,13.3044,55.1
Riesberg,934,49.0391581,13.2892725,55.1
Fürstenstand,,49.0702859,13.272082,55.2
Kadernberg,,48.8446402,13.326521,55.3
Scheiben,,48.8465001,13.3274501,55.3
Stangenruck,677,49.2830072,13.0271911,55.5
Steinbichel,703,48.8733143,13.333505,55.6
Ochsenstiegl,623,48.7556495,13.3074661,55.6
Kleiner Falkenstein,1190,49.0885068,13.2732424,56.0
Büchelberg,502,48.661378,13.2638827,56.2
Großer Falkenstein,1315,49.0847366,13.2799821,56.3
Oberer Berg,686,48.8710547,13.3431158,56.3
Stierberg,734,49.012557,13.3186479,56.4
Höllbachriegel,,49.0824462,13.2863311,56.6
Schwarzbachriegel,1145,49.0787465,13.2876243,56.6
Ruckowitzberg,1269,49.0947511,13.2826889,56.9
Kreuzberg,,48.8939705,13.3519564,57.0
Redelberg,,48.872233,13.3543789,57.1
Diebstein,520,48.76141,13.3359566,57.4
Goldhügel,539,48.7878266,13.348767,57.7
Trossel,,48.9194173,13.3642355,58.0
Kühberg,428,48.6365607,13.2736962,58.1
Scheuereckriegel,,49.0569994,13.3239198,58.2
Bauernberg,534,48.8113468,13.3622744,58.3
Im Riegel,582,48.7997441,13.3593991,58.3
Hoher Sachsen,752,48.8620758,13.3732777,58.6
Fahnenriegel,1199,49.0521408,13.3372696,58.9
Pfennighügel,513,48.7854789,13.3660449,59.0
Altenstein,744,48.8882425,13.3794222,59.0
Scheuereckberg,1193,49.0673998,13.3311385,59.1
Hirschberg,1039,49.0215876,13.3553605,59.2
Kiesruck,1265,49.0527189,13.3453269,59.5
Höhenberg,608,48.7493244,13.3617601,59.6
Ebersberg,560,48.639361,13.3015743,59.8
Glockenberg,537,48.7879125,13.3793761,59.9
Kleiner Rachel,1399,48.983702,13.3791457,60.0
Bienstand,865,48.8940025,13.3934814,60.0
Steinkopf,1134,48.9578049,13.3877646,60.1
Hauzenberg,565.5,48.773957,13.3780243,60.1
Kleiner Hahnenbogen,,49.0498975,13.3563224,60.2
Hochruck,1260,48.9879311,13.3805457,60.2
Kehlberg,462,48.6280566,13.2999515,60.3
Vogelsang,,48.7741267,13.3820154,60.4
Schuhnagelkopf,,48.9694063,13.3893469,60.4
Großer Hahnenbogen,1257,49.0452334,13.3631037,60.5
Erlenberg,402,48.6152527,13.2922924,60.5
Schwaimberg,,48.8645965,13.4007879,60.6
Großer Rachel,1453,48.9785352,13.3889715,60.6
Felsensturz,,48.9708881,13.3968287,61.0
Siebenrücken,852,48.9391887,13.4031133,61.0
Beerenkopf,,49.0074465,13.4027836,62.2
Hoher Stein,820,48.8924503,13.4293207,62.6
V koutě,1276,48.9727165,13.4258767,63.1
Steinbühl,754,48.841942,13.4354913,63.2
Grüdelberg,,48.8905971,13.4395641,63.4
Bubikberg,572,48.7709039,13.426255,63.7
Lindberg,638,48.7896681,13.4345317,63.9
Bärenlochriegel,1304,48.9664901,13.4405838,64.1
Plattenhausenriegel,1376,48.9639997,13.4502885,64.7
Steinberg,875,48.8515811,13.4582633,64.8
Geistlicher Stein,671,48.8292768,13.4559508,64.9
Kleiner Geistlicher Stein,,48.8281982,13.4577657,65.0
Kastenberg,386,48.6150311,13.3866022,66.6
Kleiner Spitzberg,1233,48.9510092,13.4797727,66.7
Waldhäuserriegel,1151,48.92468,13.4845986,66.8
Frauenstein,,48.8017055,13.4787791,66.9
Atzldorfer Berg,,48.7367261,13.4603941,66.9
Bärenkopf,976,48.914705,13.5001755,67.9
Luchsstein,,48.9235567,13.5007109,68.0
Lusen,1373,48.9391964,13.5067775,68.5
Ochsenriegel,,48.8938149,13.5116318,68.6
Hoher Stein,583,48.7458001,13.4892374,68.8
Markkopf,1280,48.9686858,13.5150775,69.5
Hoher Filzberg,1279,48.9367145,13.5210641,69.5
Sulzriegel,1257,48.9241523,13.5260505,69.8
Hochgefeichtetstein,1260,48.9235854,13.5263267,69.8
Steinfleckberg,1342,48.9530022,13.522683,69.8
Augustin Kanzel,575,48.8130949,13.5207262,69.8
Kleine Kanzel,1011,48.8873002,13.5310852,70.0
Hohlstein,1196,48.9150996,13.5301565,70.1
Baderstein,,48.797657,13.5281372,70.5
Grosse Kanzel,1002,48.8884396,13.5400865,70.7
Farrenberg,1203,48.9576901,13.5417946,71.3
Siebensteinkopf,1263,48.9654959,13.5755324,73.8
Sicklinger Berg,628,48.7353965,13.5794471,75.5
Alzenberg,1100,48.895165,13.6269428,77.1
Steinberg,830,48.6822222,13.5875,77.6
Geißberg,1018,48.912214,13.6420522,78.2
Almberg,1139,48.889185,13.6431786,78.2
Saußberg,793,48.70479,13.60592,78.2
Mühlberg,890,48.8458696,13.6427333,78.3
Schwarzkopf,1060,48.8563241,13.6549035,79.2
Grandelberg,1010,48.8703261,13.657291,79.3
Tiessenberg,745,48.6619491,13.614023,80.1
Mitterscheibling,921,48.8905042,13.6691268,80.1
Neufanger Berg,755,48.74917,13.65305,80.4
Haidel,1166,48.8185711,13.6782443,81.2
Oberfrauenwald,945,48.6850001,13.6580499,82.4
Sulzberg,1146,48.8435733,13.6992756,82.5
Staffelberg,793,48.6510959,13.6513777,83.1
Hochstein,,48.764743,13.6948783,83.1
Zillberg,829,48.755216,13.7027891,83.9
Zielberg,,48.7406726,13.7053418,84.4
Stubenberg,812,48.7591014,13.7212919,85.2
Lichtenberg,1028,48.8380795,13.7399609,85.5
Ruhmannsberg,862,48.6474966,13.6858196,85.6
Spitzenberg,807,48.7505129,13.7272164,85.8
Fuchsenstein,759,48.7699484,13.7394357,86.3
Braunberg,706,48.7522121,13.7477277,87.2
Kühberg,855,48.623218,13.7082724,88.0
Klausgupf,929,48.7748578,13.771184,88.5
Großer Rathberg,899,48.656921,13.7444404,89.4
Habergrasberg,1235,48.785,13.78859,89.6
Rollmannsberg,1042,48.7958348,13.800833,90.4
Hochstein,1333,48.7847492,13.8027768,90.6
Dreisessel,1323,48.780679,13.8031771,90.7
Höpfelberg,727,48.7081245,13.7903125,91.2
Nanzelberg,692,48.6993217,13.8025613,92.3
Friedrichsberg,930,48.6545958,13.7963569,93.1
Ebenstein,586,48.5225288,13.7216404,93.3
Dreihiasl,654,48.6966004,13.8195811,93.6
Ponzaun,767,48.60153,13.7788112,93.7
Eidenberger Lusen,733,48.5727904,13.7841343,95.2
